name,nruns,width,height,time
germano.jpg,10,421,748,0.02302837371826172
germano.jpg,10,210,374,0.013167619705200195
germano.jpg,10,105,187,0.01165628433227539
germano.jpg,10,52,93,0.008834123611450195
tree_sun.jpg,10,796,1200,0.04189634323120117
tree_sun.jpg,10,398,600,0.018744230270385742
tree_sun.jpg,10,199,300,0.012154817581176758
tree_sun.jpg,10,99,150,0.008835315704345703
brit.jpg,10,800,528,0.025053024291992188
brit.jpg,10,400,264,0.013351202011108398
brit.jpg,10,200,132,0.011224508285522461
brit.jpg,10,100,66,0.008764028549194336
flat_red.png,10,100,100,0.012880325317382812
flat_red.png,10,50,50,0.008472919464111328
flat_red.png,10,25,25,0.012810945510864258
flat_red.png,10,12,12,0.008241891860961914
mona.jpg,10,11146,7479,4.863621711730957
mona.jpg,10,5573,3739,1.234633207321167
mona.jpg,10,2786,1869,0.3372533321380615
mona.jpg,10,1393,934,0.05377078056335449
