name,nruns,width,height,time
germano.jpg,10,421,748,0.6597244739532471
germano.jpg,10,210,374,0.15214228630065918
germano.jpg,10,105,187,0.04758453369140625
germano.jpg,10,52,93,0.019855976104736328
tree_sun.jpg,10,796,1200,2.0166380405426025
tree_sun.jpg,10,398,600,0.45940351486206055
tree_sun.jpg,10,199,300,0.11849641799926758
tree_sun.jpg,10,99,150,0.03758096694946289
brit.jpg,10,800,528,0.8357663154602051
brit.jpg,10,400,264,0.19728851318359375
brit.jpg,10,200,132,0.055410146713256836
brit.jpg,10,100,66,0.020971298217773438
flat_red.png,10,100,100,0.02115654945373535
flat_red.png,10,50,50,0.010946273803710938
flat_red.png,10,25,25,0.009288787841796875
flat_red.png,10,12,12,0.008690595626831055
mona.jpg,10,11146,7479,223.8776776790619
mona.jpg,10,5573,3739,56.73274755477905
mona.jpg,10,2786,1869,13.365633487701416
mona.jpg,10,1393,934,3.175143003463745
